RAT TRAP
MARK SHEET
AIR PURIFIER
MOBILE PHONE
TEA GARDEN
TEXT BOOKS
CODE EDITOR
AIR CONDITIONER
BALL ROOM
HOT AIR BALOON
ICE CREAM
RAIN FOREST
EIFFEL TOWER
WATER TANK
WATER BOTTLE
MOTOR CYCLE
WASHING MACHINE
SWIMMING POOL
DRIVING LICENCE
DRY CLEANERS
GREEN HOUSE
RAIN COAT
BLACK BOARD
WHITE BOARD
MARKER PEN
ARM PIT 
DISH WASHER
COUNT DOWN
PIN DROP
BLUE STONE
SPORTS CAR
GOLF COURSE
HOUSE KEEPER
RUNNER UP
MUSIC BOX
MOTHER IN LAW
SHOW CASE
FIRE JACKET
MOVIE THEATER
BUS STOP
FIRE DRILL
TRAINING ROOM
UNDER WEAR
KEY BOARD
SIX PACK
HEALTH CARE
POST OFFICE
OUT LINE
MAKE OUT
THUNDER STORM
WORK OUT
COMPUTER SYSTEM
DATABASE SERVER
TEXT EDITIOR
NEWS PAPER
DAILY NEWS
GAME NIGHT
